Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
Starling/ACSS,715.5,26/7,0.1659,0.129,0.3871,1.051,673.9,309.8,983.7,23300,25200,29800,0.0231,0.0286,20,75,304.8,1550,ACSS
Redwing/ACSS,715.5,30/19,0.1544,0.0927,0.4633,1.081,675.6,434.6,1110.2,30800,34000,39800,0.023,0.0284,20,75,304.8,1570,ACSS
Cuckoo/ACSS,795,24/7,0.182,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0259,20,75,304.8,1650,ACSS
Drake/ACSS,795,26/7,0.1749,0.136,0.408,1.107,748.8,344.2,1093,25900,28000,32600,0.0209,0.0257,20,75,304.8,1662,ACSS
Macaw/ACSS,795,42/7,0.1376,0.0764,0.2293,1.055,748.8,108.7,857.5,11800,12600,14300,0.0211,0.0262,20,75,304.8,1621,ACSS
Tern/ACSS,795,45/7,0.1329,0.0886,0.2658,1.063,748.8,146.1,894.9,14200,15200,17400,0.021,0.0263,20,75,304.8,1618,ACSS
Condor/ACSS,795,54/7,0.1213,0.1213,0.364,1.092,748.8,274,1022.8,21700,23300,26900,0.0209,0.0266,20,75,304.8,1618,ACSS
Mallard/ACSS,795,30/19,0.1628,0.0977,0.4884,1.139,750.6,482.8,1233.4,34300,37900,44300,0.0207,0.0255,20,75,304.8,1683,ACSS
Ruddy/ACSS,900,45/7,0.1414,0.0943,0.2828,1.131,847.7,165.4,1012.1,15800,17000,19200,0.0186,0.0233,20,75,304.8,1755,ACSS
Canary/ACSS,900,54/7,0.1291,0.1291,0.3873,1.162,847.7,310.1,1157.8,24600,26400,30500,0.0184,0.0236,20,75,304.8,1756,ACSS
Redbird/ACSS,954,24/7,0.1994,0.1329,0.3987,1.196,898.5,328.7,1227.2,26000,28000,32300,0.0174,0.0217,20,75,304.8,1859,ACSS
Rail/ACSS,954,45/7,0.1456,0.0971,0.2912,1.165,898.5,175.3,1073.8,16700,18000,20400,0.0175,0.022,20,75,304.8,1824,ACSS
Towhee/ACSS,954,48/7,0.141,0.1097,0.329,1.175,898.5,223.7,1122.2,19700,21300,24300,0.0175,0.0218,20,75,304.8,1842,ACSS
Cardinal/ACSS,954,54/7,0.1329,0.1329,0.3987,1.196,898.6,328.7,1227.2,26000,28000,32300,0.0174,0.0223,20,75,304.8,1825,ACSS
Canvasback/ACSS,954,30/19,0.1783,0.107,0.535,1.248,900.7,579.4,1480.1,41100,45400,53100,0.0172,0.0214,20,75,304.8,1897,ACSS
Snowbird/ACSS,1033.5,42/7,0.1569,0.0871,0.2614,1.203,973.4,141.3,1114.7,15400,16500,18500,0.0162,0.0204,20,75,304.8,1924,ACSS
Ortolan/ACSS,1033.5,45/7,0.1515,0.101,0.3031,1.212,973.4,190,1163.4,18100,19500,22000,0.0162,0.0204,20,75,304.8,1921,ACSS
Curlew/ACSS,1033.5,54/7,0.1383,0.1383,0.415,1.245,973.4,356.2,1329.6,28200,30300,35000,0.0161,0.0206,20,75,304.8,1924,ACSS
Bluejay/ACSS,1113,45/7,0.1573,0.1048,0.3145,1.258,1048.3,204.5,1252.8,19500,21100,23800,0.015,0.019,20,75,304.8,2017,ACSS
Finch/ACSS,1113,54/19,0.1436,0.0861,0.4307,1.292,1053.4,375.5,1428.9,30400,33200,38700,0.015,0.0193,20,75,304.8,2015,ACSS
Bunting/ACSS,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123.2,219.2,1342.4,21400,23500,25400,0.014,0.0178,20,75,304.8,2110,ACSS
Bittern/ACSS,1272,45/7,0.1681,0.1121,0.3363,1.345,1198,234,1432,22300,24000,27100,0.0131,0.0167,20,75,304.8,2201,ACSS
