CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,Validated,minfirstderivative,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,deltas,delta1s,Cs
Bluebird,2156,84/19,0.1602,0.0962,0.4808,1.762,2040,468,2508,81.34,18.66,60300,0.00801,0.0105,20,75,304.8,1623,ACSR,0,0,0.00801,2.62795275590551e-05,3.44488188976378e-05,1.38501456961378,2,0.245787220928314
Kiwi,2167,72/7,0.1735,0.1157,0.347,1.735,2051,249,2300,89.17,10.82,49800,0.00801,0.0106,20,75,304.8,1607,ACSR,0,0,0.00801,2.62795275590551e-05,3.47769028871391e-05,1.40162648861008,2,0.244982320081479
Partridge/ACSS,266.8,26/7,0.1013,0.0788,0.2363,0.642,251.3,115.5,366.8,8880,9730,11400,0.0619,0.0761,20,75,304.8,812,ACSS,0,0,0.0619,0.000203083989501312,0.000249671916010499,2.01741708978402,2,0.529460448907275
Junco/ACSS,266.8,30/7,0.0943,0.0943,0.2829,0.66,251.9,165.5,417.4,11700,13000,15200,0.0615,0.0756,20,75,304.8,822,ACSS,0,0,0.0615,0.000201771653543307,0.000248031496062992,2.00055943067784,2,0.52949347417526
Ostrich/ACSS,300,26/7,0.1074,0.0835,0.2506,0.68,282.6,129.9,412.5,10000,10900,12800,0.0551,0.0677,20,75,304.8,877,ACSS,0,0,0.0551,0.000180774278215223,0.000222112860892388,1.98217895704515,2,0.527871655363607
Linnet/ACSS,336.4,26/7,0.1137,0.0885,0.2654,0.72,316.8,145.7,462.5,11200,12300,14400,0.0491,0.0604,20,75,304.8,945,ACSS,0,0,0.0491,0.000161089238845144,0.000198162729658793,1.94640272538505,2,0.52668707949777
Oriole/ACSS,336.4,30/7,0.1059,0.1059,0.3177,0.741,317.6,208.7,526.3,14800,16300,19100,0.0488,0.06,20,75,304.8,957,ACSS,0,0,0.0488,0.00016010498687664,0.000196850393700787,1.92811455279526,2,0.526587604069782
Brant/ACSS,397.5,24/7,0.1287,0.0858,0.2574,0.772,374.4,137,511.4,11000,12100,14100,0.0417,0.0514,20,75,304.8,1047,ACSS,0,0,0.0417,0.000136811023622047,0.000168635170603675,1.90172134539536,2,0.524863754440885
Ibis/ACSS,397.5,26/7,0.1236,0.0962,0.2885,0.783,374.4,172.1,546.5,13000,14200,16500,0.0416,0.0512,20,75,304.8,1054,ACSS,0,0,0.0416,0.000136482939632546,0.000167979002624672,1.8925113681191,2,0.525121101609803
Lark/ACSS,397.5,30/7,0.1151,0.1151,0.3453,0.806,375.3,246.5,621.8,17500,19300,22600,0.0413,0.0508,20,75,304.8,1068,ACSS,0,0,0.0413,0.000135498687664042,0.000166666666666667,1.87351568723142,2,0.523211884275781
Flicker/ACSS,477,24/7,0.141,0.094,0.2819,0.846,449.3,164.4,613.7,13000,14200,16400,0.0348,0.0429,20,75,304.8,1180,ACSS,0,0,0.0348,0.000114173228346457,0.000140748031496063,1.84129161320113,2,0.523572807912486
Hawk/ACSS,477,26/7,0.1354,0.1053,0.316,0.858,449.3,206.5,655.8,15600,17100,19800,0.0346,0.0427,20,75,304.8,1188,ACSS,0,0,0.0346,0.000113517060367454,0.00014009186351706,1.83180900259064,2,0.523111899620874
Hen/ACSS,477,30/7,0.1261,0.1261,0.3783,0.883,450.4,295.9,746.3,21000,22700,26700,0.0344,0.0424,20,75,304.8,1204,ACSS,0,0,0.0344,0.000112860892388451,0.000139107611548556,1.81231780044163,2,0.522780101450461
Parakeet/ACSS,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,15200,16600,19100,0.0298,0.0368,20,75,304.8,1306,ACSS,0,0,0.0298,9.77690288713911e-05,0.000120734908136483,1.77057420852084,2,0.522061637267065
Dove/ACSS,556.5,26/7,0.1463,0.1138,0.3413,0.927,524.2,240.9,765.1,18200,19900,23200,0.0297,0.0366,20,75,304.8,1315,ACSS,0,0,0.0297,9.74409448818898e-05,0.00012007874015748,1.76110330883007,2,0.520305040492959
