Name,Size,Metal OD,Low Temp ûC,Low Resistance ½/mile,Low Resistance ½/meter,Hi Temp ûC,Hi Resistance ½/mile,Hi Resistance ½/meter,alpha,beta,Type
Condor,795,0.993,25,0.1136,7.05879E-05,75,0.1361,8.45688E-05,6.35975E-05,2.79618E-07,ACSSTW
Drake,795,1.010,25,0.11246,6.98796E-05,75,0.13464,8.36616E-05,6.29886E-05,2.75641E-07,ACSSTW
Canary,900,1.055,25,0.1007,6.25722E-05,75,0.1205,7.48754E-05,5.64206E-05,2.46064E-07,ACSSTW
Fraser,946.7,1.077,25,0.0969,6.0211E-05,75,0.1190,7.39434E-05,5.33448E-05,2.74647E-07,ACSSTW
Phoenix,954,1.044,25,0.0970,6.02732E-05,75,0.1190,7.39434E-05,5.34381E-05,2.73404E-07,ACSSTW
Rail,954,1.061,25,0.0967,6.00867E-05,75,0.1187,7.37569E-05,5.32516E-05,2.73404E-07,ACSSTW
Cardinal,954,1.084,25,0.09451,5.87259E-05,75,0.11299,7.02089E-05,5.29845E-05,2.29659E-07,ACSSTW
Kettle,957.2,1.060,25,0.0964,5.99003E-05,75,0.1183,7.35084E-05,5.30963E-05,2.72161E-07,ACSSTW
Suwannee,959.6,1.108,25,0.0941,5.84712E-05,75,0.1127,7.00287E-05,5.26924E-05,2.31151E-07,ACSSTW
Columbia,966.2,1.092,25,0.0940,5.8409E-05,75,0.1124,6.98423E-05,5.26924E-05,2.28665E-07,ACSSTW
Snowbird,1033.5,1.089,25,0.0899,5.58614E-05,75,0.1101,6.84131E-05,4.95855E-05,2.51035E-07,ACSSTW
Ortolan,1033.5,1.102,25,0.0896,5.5675E-05,75,0.1098,6.82267E-05,4.93991E-05,2.51035E-07,ACSSTW
Curlew,1033.5,1.129,25,0.08818,5.47926E-05,75,0.10507,6.52876E-05,4.95452E-05,2.099E-07,ACSSTW
Avocet,1113,1.129,25,0.0838,5.2071E-05,75,0.0938,5.82848E-05,4.89642E-05,1.24275E-07,ACSSTW
Bluejay,1113,1.143,25,0.0835,5.18846E-05,75,0.0935,5.80984E-05,4.87778E-05,1.24275E-07,ACSSTW
Finch,1113,1.185,25,0.0826,5.13254E-05,75,0.1012,6.28829E-05,4.55466E-05,2.31151E-07,ACSSTW
Genesee,1158,1.165,25,0.0805,5.00205E-05,75,0.0983,6.10809E-05,4.44903E-05,2.21209E-07,ACSSTW
Hudson,1158.4,1.196,25,0.0790,4.90884E-05,75,0.0943,5.85954E-05,4.43349E-05,1.9014E-07,ACSSTW
Cheyenne,1168.1,1.155,25,0.0801,4.9772E-05,75,0.0979,6.08324E-05,4.42417E-05,2.21209E-07,ACSSTW
Oxbird,1192.5,1.167,25,0.0786,4.88399E-05,75,0.0960,5.96518E-05,4.3434E-05,2.16238E-07,ACSSTW
Bunting,1192.5,1.181,25,0.0783,4.86535E-05,75,0.0956,5.94032E-05,4.32786E-05,2.14995E-07,ACSSTW
Grackle,1192.5,1.225,25,0.0773,4.80321E-05,75,0.0947,5.8844E-05,4.26262E-05,2.16238E-07,ACSSTW
